order_key,order_item_id,product_category,seller_key,seller_label,seller_state,item_price,freight_value
57,1,sports_leisure,1814,"Seller 1814",SP,390.00,29.39
58,1,computers_accessories,1648,"Seller 1648",RS,135.00,21.75
59,1,telephony,108,"Seller 0108",SP,104.00,16.43
60,1,cool_stuff,215,"Seller 0215",RS,149.00,15.80
61,1,telephony,1864,"Seller 1864",SP,279.90,13.46
62,1,furniture_decor,1750,"Seller 1750",MG,44.90,23.22
63,1,telephony,2817,"Seller 2817",SP,37.99,19.18
64,1,construction_tools_lights,1814,"Seller 1814",SP,29.99,15.31
65,1,perfumery,63,"Seller 0063",SP,120.00,15.59
66,1,health_beauty,1762,"Seller 1762",SP,492.75,21.62
67,1,toys,2547,"Seller 2547",SP,94.90,18.54
68,1,furniture_decor,1317,"Seller 1317",SP,88.34,21.11
69,1,cool_stuff,1497,"Seller 1497",SP,199.99,65.56
70,1,stationery,2122,"Seller 2122",RS,99.90,19.67
71,1,housewares,7,"Seller 0007",SP,78.00,8.90
71,2,housewares,7,"Seller 0007",SP,78.00,8.90
72,1,perfumery,3039,"Seller 3039",SP,155.00,14.84
73,1,furniture_decor,25,"Seller 0025",PR,249.90,34.23
74,1,bed_bath_table,282,"Seller 0282",SP,53.98,23.31
75,1,consoles_games,1405,"Seller 1405",MG,8.99,32.57
75,2,toys,3002,"Seller 3002",SP,44.90,7.16
76,1,housewares,1737,"Seller 1737",MG,60.60,17.67
77,1,baby,1629,"Seller 1629",SP,225.00,67.24
78,1,housewares,1966,"Seller 1966",SP,39.90,15.38
79,1,industry_commerce_and_business,165,"Seller 0165",SP,76.00,34.07
80,1,housewares,2714,"Seller 2714",SP,159.00,27.19
81,1,luggage_accessories,2637,"Seller 2637",MG,102.90,14.45
81,2,luggage_accessories,2637,"Seller 2637",MG,102.90,14.45
82,1,toys,2876,"Seller 2876",SP,63.90,16.89
83,1,pet_shop,1371,"Seller 1371",RJ,168.80,8.21
84,1,bed_bath_table,2505,"Seller 2505",SP,59.90,9.94
84,2,bed_bath_table,2505,"Seller 2505",SP,59.90,9.94
85,1,garden_tools,418,"Seller 0418",SP,232.75,28.58
86,1,health_beauty,972,"Seller 0972",RJ,48.90,18.44
87,1,bed_bath_table,879,"Seller 0879",SP,87.00,12.11
88,1,cool_stuff,1618,"Seller 1618",MG,131.90,18.54
89,1,furniture_decor,1013,"Seller 1013",RJ,19.90,14.10
90,1,office_furniture,1527,"Seller 1527",SP,136.99,66.04
91,1,toys,841,"Seller 0841",RJ,399.99,23.64
92,1,sports_leisure,399,"Seller 0399",SP,41.00,11.85
93,1,perfumery,2372,"Seller 2372",SP,69.00,18.58
93,2,perfumery,2372,"Seller 2372",SP,69.00,18.58
94,1,sports_leisure,2351,"Seller 2351",PR,169.90,33.33
95,1,housewares,2152,"Seller 2152",GO,119.00,15.28
96,1,construction_tools_construction,2975,"Seller 2975",SP,39.90,18.08
97,1,housewares,1018,"Seller 1018",SP,85.00,12.90
98,1,computers_accessories,1738,"Seller 1738",SP,220.00,8.89
99,1,watches_gifts,855,"Seller 0855",SP,277.00,35.74
100,1,health_beauty,80,"Seller 0080",MA,66.99,27.75
101,1,telephony,2869,"Seller 2869",SP,14.00,50.85
102,1,computers_accessories,146,"Seller 0146",PR,85.00,17.03
102,2,computers_accessories,146,"Seller 0146",PR,85.00,17.03
103,1,watches_gifts,1552,"Seller 1552",SP,229.00,9.80
104,1,watches_gifts,1532,"Seller 1532",SP,99.90,0.00
105,1,computers_accessories,2935,"Seller 2935",PR,84.90,34.39
106,1,furniture_decor,1195,"Seller 1195",SP,189.00,33.91
107,1,watches_gifts,1228,"Seller 1228",SP,49.00,7.78
108,1,housewares,150,"Seller 0150",SP,37.90,15.37
109,1,electronics,83,"Seller 0083",RS,179.93,16.14
110,1,health_beauty,802,"Seller 0802",SP,116.90,13.84
111,1,auto,732,"Seller 0732",MG,94.90,15.51
112,1,consoles_games,816,"Seller 0816",SP,121.99,15.73
113,1,"Unknown / unclassified",662,"Seller 0662",SP,7.79,7.78
114,1,furniture_decor,1527,"Seller 1527",SP,179.99,85.97
115,1,"Unknown / unclassified",1363,"Seller 1363",MG,7.60,10.96
116,1,garden_tools,366,"Seller 0366",SP,49.90,17.60
117,1,health_beauty,2389,"Seller 2389",SP,110.32,8.03
118,1,telephony,164,"Seller 0164",SP,49.00,11.85
119,1,perfumery,1191,"Seller 1191",RJ,159.90,61.18
120,1,stationery,729,"Seller 0729",SP,120.00,27.39
121,1,sports_leisure,1439,"Seller 1439",RJ,21.50,11.98
122,1,"Unknown / unclassified",2407,"Seller 2407",SP,122.99,15.61
123,1,cool_stuff,1497,"Seller 1497",SP,72.99,19.75
124,1,cool_stuff,1497,"Seller 1497",SP,129.99,13.93
125,1,bed_bath_table,879,"Seller 0879",SP,92.00,17.89
125,2,bed_bath_table,879,"Seller 0879",SP,92.00,17.89
126,1,food,1396,"Seller 1396",SP,33.89,8.40
126,2,food,1396,"Seller 1396",SP,33.89,8.40
126,3,food,1396,"Seller 1396",SP,33.89,8.40
126,4,food,1396,"Seller 1396",SP,33.89,8.40
127,1,computers_accessories,1944,"Seller 1944",MG,149.00,40.37
128,1,"Unknown / unclassified",2747,"Seller 2747",SP,20.30,16.79
129,1,perfumery,3039,"Seller 3039",SP,179.90,15.01
129,2,perfumery,3039,"Seller 3039",SP,179.90,15.01
130,1,telephony,1394,"Seller 1394",SP,109.90,12.27
131,1,telephony,942,"Seller 0942",SP,89.00,25.90
132,1,health_beauty,1814,"Seller 1814",SP,120.00,13.75
133,1,watches_gifts,1228,"Seller 1228",SP,75.00,14.28
134,1,computers_accessories,1709,"Seller 1709",SC,46.86,14.52
135,1,sports_leisure,1358,"Seller 1358",SC,96.00,14.84
136,1,toys,2607,"Seller 2607",RS,49.99,18.12
136,2,baby,2607,"Seller 2607",RS,24.99,13.58
136,3,baby,2607,"Seller 2607",RS,24.99,13.58
137,1,computers_accessories,2803,"Seller 2803",PR,120.10,16.60
138,1,sports_leisure,732,"Seller 0732",MG,69.90,16.25
139,1,watches_gifts,1645,"Seller 1645",SC,39.90,54.02
140,1,toys,420,"Seller 0420",SP,159.90,20.31
141,1,watches_gifts,1532,"Seller 1532",SP,540.00,16.22
142,1,cool_stuff,550,"Seller 0550",SP,189.90,31.17
143,1,home_appliances,2598,"Seller 2598",SP,14.90,8.27
144,1,kitchen_dining_laundry_garden_furniture,319,"Seller 0319",SP,43.90,11.85
145,1,baby,347,"Seller 0347",PR,139.00,87.28
146,1,bed_bath_table,1215,"Seller 1215",SP,40.35,13.71
147,1,electronics,1596,"Seller 1596",SC,469.00,20.85
148,1,furniture_decor,1356,"Seller 1356",SP,59.00,16.17
149,1,air_conditioning,1699,"Seller 1699",SP,35.90,15.79
149,2,air_conditioning,1699,"Seller 1699",SP,35.90,15.79
150,1,sports_leisure,1114,"Seller 1114",PR,96.99,16.44
151,1,computers_accessories,1661,"Seller 1661",PR,77.90,13.89
152,1,toys,2101,"Seller 2101",SP,229.99,20.80
153,1,"Unknown / unclassified",586,"Seller 0586",SP,56.00,14.14
154,1,toys,1627,"Seller 1627",SP,69.99,11.99
155,1,fashion_bags_accessories,2441,"Seller 2441",SP,49.90,7.78
156,1,sports_leisure,2494,"Seller 2494",SP,14.00,7.39
157,1,watches_gifts,1228,"Seller 1228",SP,29.00,14.10
158,1,garden_tools,2,"Seller 0002",ES,99.00,43.06
159,1,home_confort,430,"Seller 0430",SP,499.00,30.35
160,1,health_beauty,1406,"Seller 1406",SP,39.85,12.79
161,1,toys,900,"Seller 0900",SP,149.00,14.06
162,1,housewares,1018,"Seller 1018",SP,179.98,12.46
163,1,toys,2668,"Seller 2668",SP,219.99,14.90
164,1,watches_gifts,1228,"Seller 1228",SP,129.00,8.16
165,1,watches_gifts,1207,"Seller 1207",RJ,137.00,15.71
166,1,sports_leisure,2346,"Seller 2346",SP,37.00,10.96
167,1,health_beauty,462,"Seller 0462",SP,154.00,14.83
168,1,furniture_decor,2469,"Seller 2469",SP,253.52,82.86
169,1,sports_leisure,903,"Seller 0903",SP,49.90,7.39
170,1,bed_bath_table,360,"Seller 0360",SP,148.90,13.95
171,1,bed_bath_table,2715,"Seller 2715",DF,64.90,18.69
172,1,electronics,1552,"Seller 1552",SP,179.00,16.00
173,1,sports_leisure,2981,"Seller 2981",SP,27.90,15.10
174,1,furniture_decor,1382,"Seller 1382",SP,39.00,16.11
175,1,telephony,2465,"Seller 2465",SP,7.00,14.10
176,1,computers_accessories,1827,"Seller 1827",SP,269.00,10.70
177,1,bed_bath_table,1026,"Seller 1026",PR,99.90,17.95
178,1,bed_bath_table,879,"Seller 0879",SP,69.90,15.24
179,1,computers_accessories,2264,"Seller 2264",DF,89.90,23.13
180,1,home_appliances,2598,"Seller 2598",SP,165.00,19.03
181,1,baby,1497,"Seller 1497",SP,57.99,11.73
182,1,perfumery,3039,"Seller 3039",SP,259.00,10.63
183,1,watches_gifts,1228,"Seller 1228",SP,55.00,7.65
184,1,sports_leisure,399,"Seller 0399",SP,133.00,16.69
185,1,computers_accessories,1632,"Seller 1632",MG,35.90,18.23
186,1,health_beauty,1697,"Seller 1697",SP,14.89,18.23
187,1,health_beauty,2007,"Seller 2007",PR,99.00,13.00
188,1,computers_accessories,1814,"Seller 1814",SP,90.00,9.44
189,1,health_beauty,546,"Seller 0546",SP,43.49,27.39
190,1,bed_bath_table,697,"Seller 0697",SP,109.99,36.85
191,1,toys,350,"Seller 0350",SP,9.99,15.23
191,2,toys,350,"Seller 0350",SP,9.99,15.23
192,1,auto,1288,"Seller 1288",SP,28.50,34.15
193,1,bed_bath_table,1504,"Seller 1504",SP,199.00,8.74
194,1,housewares,1737,"Seller 1737",MG,135.90,21.44
195,1,auto,263,"Seller 0263",SP,249.00,37.09
196,1,health_beauty,2832,"Seller 2832",SP,49.99,15.56
197,1,watches_gifts,1228,"Seller 1228",SP,38.00,7.53
198,1,housewares,1270,"Seller 1270",SP,85.00,11.62
199,1,auto,1630,"Seller 1630",SP,117.30,25.66
200,1,pet_shop,1133,"Seller 1133",MG,99.90,18.57
200,2,pet_shop,1133,"Seller 1133",MG,99.90,14.35
201,1,construction_tools_construction,1640,"Seller 1640",SP,18.00,7.87
202,1,perfumery,1050,"Seller 1050",SP,11.53,7.39
203,1,sports_leisure,841,"Seller 0841",RJ,269.99,39.41
204,1,consoles_games,255,"Seller 0255",SP,89.99,14.80
205,1,watches_gifts,729,"Seller 0729",SP,19.90,42.76
206,1,auto,2299,"Seller 2299",SP,166.90,13.47
207,1,computers_accessories,278,"Seller 0278",SP,133.74,12.44
208,1,cool_stuff,288,"Seller 0288",SP,86.80,7.86
209,1,computers_accessories,1053,"Seller 1053",SP,62.00,8.59
210,1,garden_tools,1481,"Seller 1481",RJ,158.00,10.68
210,2,garden_tools,1481,"Seller 1481",RJ,308.00,31.16
211,1,bed_bath_table,536,"Seller 0536",SP,129.00,47.40
212,1,bed_bath_table,2469,"Seller 2469",SP,143.54,21.49
213,1,bed_bath_table,666,"Seller 0666",SP,39.99,18.23
213,2,bed_bath_table,666,"Seller 0666",SP,39.99,18.23
214,1,health_beauty,1191,"Seller 1191",RJ,49.90,12.92
215,1,perfumery,2866,"Seller 2866",RJ,119.90,23.34
216,1,garden_tools,2981,"Seller 2981",SP,16.90,15.10
217,1,telephony,2817,"Seller 2817",SP,29.99,15.10
218,1,garden_tools,1071,"Seller 1071",SP,30.99,34.15
219,1,perfumery,2465,"Seller 2465",SP,84.99,15.34
220,1,computers_accessories,1944,"Seller 1944",MG,149.00,45.12
221,1,housewares,2981,"Seller 2981",SP,48.90,8.82
222,1,sports_leisure,2799,"Seller 2799",SP,159.49,8.86
223,1,furniture_decor,578,"Seller 0578",MG,249.90,41.53
224,1,electronics,1047,"Seller 1047",DF,24.89,7.75
225,1,perfumery,2465,"Seller 2465",SP,53.99,7.78
226,1,stationery,350,"Seller 0350",SP,15.99,7.39
227,1,consoles_games,644,"Seller 0644",SP,24.50,11.85
228,1,housewares,2152,"Seller 2152",GO,179.00,22.99
229,1,auto,1207,"Seller 1207",RJ,37.90,21.43
231,1,computers_accessories,327,"Seller 0327",PR,89.90,22.56
231,2,computers_accessories,327,"Seller 0327",PR,89.90,22.56
231,3,computers_accessories,327,"Seller 0327",PR,89.90,22.56
232,1,furniture_decor,1317,"Seller 1317",SP,88.34,29.08
233,1,home_confort,1807,"Seller 1807",SP,177.90,18.50
234,1,fixed_telephony,394,"Seller 0394",SP,32.99,14.10
235,1,furniture_decor,1814,"Seller 1814",SP,69.90,0.00
236,1,bed_bath_table,879,"Seller 0879",SP,109.90,12.27
237,1,computers_accessories,1838,"Seller 1838",SP,52.99,22.30
238,1,sports_leisure,56,"Seller 0056",MG,110.90,14.51
239,1,perfumery,1618,"Seller 1618",MG,35.90,12.48
240,1,sports_leisure,903,"Seller 0903",SP,39.00,7.53
241,1,health_beauty,793,"Seller 0793",SP,27.90,7.46
242,1,small_appliances_home_oven_and_coffee,2495,"Seller 2495",SP,579.00,65.34
243,1,furniture_decor,25,"Seller 0025",PR,99.90,23.57
244,1,diapers_and_hygiene,399,"Seller 0399",SP,37.00,19.32
245,1,office_furniture,1527,"Seller 1527",SP,116.60,30.66
246,1,watches_gifts,1228,"Seller 1228",SP,49.00,19.25
247,1,auto,2291,"Seller 2291",SP,27.90,9.26
248,1,baby,1987,"Seller 1987",SP,65.00,25.73
249,1,sports_leisure,903,"Seller 0903",SP,39.90,11.85
250,1,signaling_and_security,191,"Seller 0191",SP,105.00,17.87
251,1,auto,78,"Seller 0078",PR,25.79,23.33
251,2,auto,78,"Seller 0078",PR,25.79,23.33
253,1,watches_gifts,1532,"Seller 1532",SP,146.01,13.68
254,1,fashion_bags_accessories,708,"Seller 0708",DF,189.90,26.61
255,1,health_beauty,2850,"Seller 2850",RJ,139.65,26.26
256,1,fashion_bags_accessories,391,"Seller 0391",SP,59.90,7.68
257,1,electronics,1699,"Seller 1699",SP,13.65,15.23
258,1,bed_bath_table,2972,"Seller 2972",SP,31.90,16.11
259,1,garden_tools,2557,"Seller 2557",SP,33.99,16.60
260,1,computers_accessories,1284,"Seller 1284",GO,158.90,14.59
261,1,stationery,2868,"Seller 2868",SP,47.40,11.85
262,1,housewares,2365,"Seller 2365",PR,50.00,21.19
263,1,kitchen_dining_laundry_garden_furniture,2975,"Seller 2975",SP,59.90,11.15
264,1,telephony,1007,"Seller 1007",BA,199.00,39.66
264,2,telephony,1007,"Seller 1007",BA,199.00,39.66
265,1,auto,732,"Seller 0732",MG,69.90,23.07
266,1,health_beauty,2294,"Seller 2294",SP,50.21,15.10
267,1,bed_bath_table,323,"Seller 0323",SP,39.90,16.60
268,1,telephony,2817,"Seller 2817",SP,24.99,14.10
269,1,watches_gifts,2262,"Seller 2262",SP,130.00,19.01
270,1,health_beauty,2465,"Seller 2465",SP,89.99,7.88
271,1,health_beauty,1049,"Seller 1049",SP,69.00,15.69
273,1,computers_accessories,699,"Seller 0699",PR,165.50,15.80
273,2,computers_accessories,1888,"Seller 1888",SP,175.91,52.69
273,3,computers_accessories,699,"Seller 0699",PR,165.50,15.80
273,4,computers_accessories,699,"Seller 0699",PR,165.50,15.80
274,1,computers_accessories,146,"Seller 0146",PR,98.81,13.81
275,1,watches_gifts,1228,"Seller 1228",SP,78.00,7.80
276,1,sports_leisure,56,"Seller 0056",MG,21.80,12.48
277,1,watches_gifts,2599,"Seller 2599",MG,118.90,18.93
278,1,sports_leisure,918,"Seller 0918",SP,119.80,20.18
279,1,construction_tools_lights,1814,"Seller 1814",SP,45.00,7.39
280,1,health_beauty,233,"Seller 0233",SP,449.00,20.39
281,1,furniture_decor,666,"Seller 0666",SP,139.85,16.61
281,2,furniture_decor,666,"Seller 0666",SP,139.85,16.61
282,1,electronics,212,"Seller 0212",PR,18.90,12.48
283,1,health_beauty,2917,"Seller 2917",ES,29.90,16.79
284,1,furniture_decor,1347,"Seller 1347",SP,39.90,15.10
285,1,perfumery,325,"Seller 0325",SP,59.00,13.07
286,1,auto,1779,"Seller 1779",SC,199.00,67.69
287,1,health_beauty,1987,"Seller 1987",SP,32.00,7.39
288,1,industry_commerce_and_business,1814,"Seller 1814",SP,110.00,18.35
289,1,bed_bath_table,879,"Seller 0879",SP,79.90,14.65
290,1,perfumery,930,"Seller 0930",MG,24.99,14.10
291,1,stationery,729,"Seller 0729",SP,79.00,13.91
292,1,garden_tools,366,"Seller 0366",SP,59.90,17.67
293,1,electronics,212,"Seller 0212",PR,19.90,15.10
294,1,housewares,1862,"Seller 1862",SP,158.00,15.20
295,1,bed_bath_table,1180,"Seller 1180",SP,1050.61,25.13
296,1,sports_leisure,2637,"Seller 2637",MG,106.90,18.00
297,1,auto,2060,"Seller 2060",SC,362.45,25.12
298,1,furniture_decor,666,"Seller 0666",SP,44.55,11.74
299,1,auto,543,"Seller 0543",SP,14.99,15.10
299,2,auto,543,"Seller 0543",SP,14.99,15.10
299,3,auto,543,"Seller 0543",SP,14.99,15.10
299,4,auto,543,"Seller 0543",SP,14.99,15.10
300,1,air_conditioning,21,"Seller 0021",PR,125.90,18.13
301,1,auto,2299,"Seller 2299",SP,99.90,26.84
302,1,computers_accessories,1944,"Seller 1944",MG,149.00,40.37
303,1,furniture_decor,1013,"Seller 1013",RJ,19.90,14.10
304,1,musical_instruments,1326,"Seller 1326",SP,59.90,9.17
305,1,watches_gifts,1532,"Seller 1532",SP,320.00,14.68
306,1,computers_accessories,1120,"Seller 1120",MG,59.90,14.59
307,1,furniture_decor,1686,"Seller 1686",SP,29.99,15.11
308,1,telephony,1367,"Seller 1367",SP,69.00,21.17
309,1,health_beauty,206,"Seller 0206",SP,56.00,18.69
311,1,health_beauty,2079,"Seller 2079",MG,160.00,19.00
312,1,sports_leisure,1030,"Seller 1030",MG,57.95,22.34
313,1,bed_bath_table,2715,"Seller 2715",DF,64.90,20.18
313,2,bed_bath_table,2715,"Seller 2715",DF,64.90,20.18
314,1,small_appliances,2197,"Seller 2197",SP,849.00,23.52
315,1,telephony,2817,"Seller 2817",SP,20.99,11.85
316,1,pet_shop,550,"Seller 0550",SP,19.45,14.52
317,1,costruction_tools_garden,2975,"Seller 2975",SP,59.90,34.22
317,2,costruction_tools_garden,2975,"Seller 2975",SP,59.90,34.22
318,1,sports_leisure,1292,"Seller 1292",PR,64.90,15.33
319,1,health_beauty,1986,"Seller 1986",SP,128.90,9.26
320,1,furniture_decor,1920,"Seller 1920",SP,189.90,13.77
321,1,furniture_decor,191,"Seller 0191",SP,250.00,97.56
322,1,cool_stuff,2976,"Seller 2976",SC,94.90,35.98
323,1,computers_accessories,1632,"Seller 1632",MG,27.90,20.80
323,2,computers_accessories,1632,"Seller 1632",MG,27.90,20.80
324,1,health_beauty,2473,"Seller 2473",PR,349.90,29.30
326,1,art,2336,"Seller 2336",SP,110.99,33.23
327,1,watches_gifts,2143,"Seller 2143",SP,190.83,12.84
328,1,garden_tools,2,"Seller 0002",ES,99.50,35.07
329,1,sports_leisure,2346,"Seller 2346",SP,104.00,14.82
330,1,computers_accessories,397,"Seller 0397",SP,79.00,15.30
331,1,health_beauty,80,"Seller 0080",MA,61.99,24.56
332,1,musical_instruments,983,"Seller 0983",PR,419.90,17.69
333,1,furniture_decor,1460,"Seller 1460",PR,299.00,23.17
334,1,watches_gifts,1532,"Seller 1532",SP,175.00,19.33
335,1,fashion_bags_accessories,2441,"Seller 2441",SP,49.90,14.10
336,1,toys,3002,"Seller 3002",SP,44.90,11.85
336,2,toys,3002,"Seller 3002",SP,44.90,11.85
337,1,telephony,1726,"Seller 1726",SP,38.95,15.37
338,1,"Unknown / unclassified",2407,"Seller 2407",SP,159.77,16.00
339,1,watches_gifts,2599,"Seller 2599",MG,132.90,19.03
340,1,health_beauty,1986,"Seller 1986",SP,36.85,21.85
341,1,office_furniture,1527,"Seller 1527",SP,124.99,21.88
342,1,telephony,2817,"Seller 2817",SP,94.99,13.33
343,1,furniture_decor,191,"Seller 0191",SP,32.99,16.11
344,1,perfumery,1236,"Seller 1236",GO,89.90,17.07
345,1,computers_accessories,408,"Seller 0408",MG,173.00,14.96
346,1,"Unknown / unclassified",156,"Seller 0156",MG,44.90,16.11
347,1,consoles_games,1590,"Seller 1590",SP,85.00,13.26
348,1,garden_tools,366,"Seller 0366",SP,49.90,13.37
349,1,toys,3002,"Seller 3002",SP,54.99,21.18
350,1,health_beauty,80,"Seller 0080",MA,66.99,22.97
351,1,bed_bath_table,1215,"Seller 1215",SP,69.99,14.80
352,1,watches_gifts,855,"Seller 0855",SP,268.90,19.98
353,1,perfumery,2465,"Seller 2465",SP,84.99,16.35
354,1,toys,2014,"Seller 2014",SP,34.99,9.34
354,2,toys,2014,"Seller 2014",SP,34.99,9.34
354,3,toys,2014,"Seller 2014",SP,34.99,9.34
354,4,toys,2014,"Seller 2014",SP,34.99,9.34
355,1,home_confort,879,"Seller 0879",SP,77.90,23.35
356,1,home_appliances,2598,"Seller 2598",SP,38.40,9.27
357,1,housewares,1018,"Seller 1018",SP,69.00,17.22
358,1,bed_bath_table,304,"Seller 0304",SC,134.90,21.43
359,1,bed_bath_table,323,"Seller 0323",SP,39.50,15.11
360,1,auto,846,"Seller 0846",PI,71.00,23.65
361,1,home_construction,191,"Seller 0191",SP,225.00,60.81
362,1,furniture_decor,1195,"Seller 1195",SP,189.00,32.07
363,1,cool_stuff,1743,"Seller 1743",SC,199.00,32.79
364,1,furniture_decor,191,"Seller 0191",SP,35.00,19.44
364,2,furniture_decor,191,"Seller 0191",SP,35.00,19.44
364,3,furniture_decor,191,"Seller 0191",SP,35.00,19.44
365,1,telephony,313,"Seller 0313",SC,49.90,14.52
366,1,sports_leisure,1814,"Seller 1814",SP,45.00,35.67
367,1,construction_tools_construction,667,"Seller 0667",SC,39.97,18.38
367,2,construction_tools_construction,667,"Seller 0667",SC,39.97,18.38
367,3,construction_tools_construction,667,"Seller 0667",SC,39.97,18.38
368,1,books_general_interest,2305,"Seller 2305",PR,149.00,14.77
369,1,perfumery,154,"Seller 0154",SP,51.60,9.34
370,1,health_beauty,175,"Seller 0175",GO,146.90,19.72
371,1,computers_accessories,1661,"Seller 1661",PR,79.90,9.71
372,1,party_supplies,1537,"Seller 1537",SP,22.50,18.26
373,1,toys,2785,"Seller 2785",PR,11.90,16.79
373,2,toys,2785,"Seller 2785",PR,11.90,16.79
374,1,telephony,394,"Seller 0394",SP,19.99,10.96
375,1,computers_accessories,100,"Seller 0100",SP,7.90,16.11
376,1,housewares,1018,"Seller 1018",SP,85.71,18.40
377,1,cool_stuff,1814,"Seller 1814",SP,29.50,20.84
378,1,housewares,2435,"Seller 2435",SP,18.25,17.60
379,1,watches_gifts,59,"Seller 0059",RJ,142.00,8.02
380,1,bed_bath_table,650,"Seller 0650",SP,179.99,26.10
380,2,bed_bath_table,650,"Seller 0650",SP,179.99,26.10
381,1,health_beauty,2117,"Seller 2117",SP,154.90,15.25
382,1,perfumery,1670,"Seller 1670",SP,299.00,10.29
383,1,bed_bath_table,695,"Seller 0695",SP,126.99,18.14
384,1,bed_bath_table,1357,"Seller 1357",SP,49.89,8.72
385,1,housewares,2955,"Seller 2955",SP,8.00,11.85
386,1,home_confort,879,"Seller 0879",SP,84.00,10.90
387,1,furniture_decor,191,"Seller 0191",SP,78.00,15.85
388,1,bed_bath_table,2162,"Seller 2162",RS,229.99,35.37
389,1,sports_leisure,2981,"Seller 2981",SP,89.90,26.71
390,1,housewares,2493,"Seller 2493",MG,165.00,28.53
391,1,sports_leisure,1454,"Seller 1454",SP,199.00,20.12
392,1,toys,1994,"Seller 1994",SP,79.90,28.96
393,1,"Unknown / unclassified",2407,"Seller 2407",SP,122.99,9.06
394,1,watches_gifts,3000,"Seller 3000",SP,139.90,15.15
