order_key,customer_key,customer_state,order_status,order_date,approval_stage_flag,carrier_handoff_stage_flag,delivered_stage_flag,canceled_order_flag,unavailable_order_flag,delivery_eligible_flag,on_time_flag,late_flag,delivery_status,days_to_deliver,days_late,latest_review_score,order_item_count,order_product_value,order_freight_value
20,50374,SP,delivered,2018-03-23,1,1,1,0,0,1,1,0,"On time",4,0,3,1,47.90,8.88
21,20177,SP,delivered,2017-11-21,1,1,1,0,0,1,0,1,Late,18,2,3,1,21.99,11.85
22,9995,RJ,delivered,2018-03-07,1,1,1,0,0,1,1,0,"On time",15,0,4,1,119.99,44.40
23,12678,PR,delivered,2018-02-27,1,1,1,0,0,1,1,0,"On time",9,0,4,1,49.00,15.10
24,87363,RJ,delivered,2017-09-11,1,1,1,0,0,1,1,0,"On time",12,0,5,1,48.90,16.60
25,62979,SP,unavailable,2017-10-21,1,0,0,0,1,0,0,0,"Not eligible",NULL,NULL,1,0,0.00,0.00
26,7526,RJ,delivered,2017-08-06,1,1,1,0,0,1,1,0,"On time",10,0,5,1,219.90,16.98
27,1071,SP,delivered,2018-01-16,1,1,1,0,0,1,1,0,"On time",10,0,4,1,289.00,26.33
28,46160,GO,delivered,2017-03-23,1,1,1,0,0,1,1,0,"On time",15,0,5,1,109.90,25.51
29,68257,SP,delivered,2018-06-11,1,1,1,0,0,1,1,0,"On time",2,0,5,1,27.90,7.94
30,8097,SP,delivered,2017-12-05,1,1,1,0,0,1,1,0,"On time",15,0,5,1,119.90,17.32
31,21387,RJ,delivered,2017-11-24,1,1,1,0,0,1,1,0,"On time",17,0,4,1,397.00,24.65
32,16117,MG,delivered,2018-04-07,1,1,1,0,0,1,1,0,"On time",18,0,2,1,59.90,23.35
33,70497,GO,delivered,2017-10-16,1,1,1,0,0,1,1,0,"On time",11,0,NULL,3,63.99,45.30
34,53373,PR,delivered,2017-05-22,1,1,1,0,0,1,1,0,"On time",16,0,5,1,16.50,14.10
35,17361,PR,delivered,2018-01-14,1,1,1,0,0,1,1,0,"On time",18,0,5,1,21.90,15.10
36,32953,RJ,delivered,2018-01-16,1,1,1,0,0,1,1,0,"On time",7,0,1,1,39.00,16.11
37,19589,BA,delivered,2017-04-28,1,1,1,0,0,1,1,0,"On time",24,0,5,1,49.75,20.80
38,57258,AL,delivered,2017-04-06,1,1,1,0,0,1,0,1,Late,47,4,1,1,809.10,44.29
39,88360,SP,delivered,2018-02-06,1,1,1,0,0,1,1,0,"On time",9,0,5,1,99.99,13.72
40,78210,MG,delivered,2018-03-06,1,1,1,0,0,1,1,0,"On time",10,0,5,1,59.90,19.95
41,78929,BA,delivered,2017-12-27,1,1,1,0,0,1,1,0,"On time",21,0,4,3,74.67,52.89
42,22978,SP,delivered,2018-07-04,1,1,1,0,0,1,1,0,"On time",8,0,5,1,54.00,8.54
43,67382,SP,delivered,2018-03-26,1,1,1,0,0,1,1,0,"On time",11,0,5,1,81.99,13.01
44,32226,SP,delivered,2017-11-24,1,1,1,0,0,1,0,1,Late,28,8,2,1,99.00,13.71
45,50736,SP,delivered,2017-05-14,1,1,1,0,0,1,0,1,Late,12,2,1,2,37.98,15.56
46,82824,BA,delivered,2017-05-17,1,1,1,0,0,1,1,0,"On time",22,0,5,1,38.33,16.79
47,74749,MG,delivered,2017-01-28,1,1,1,0,0,1,1,0,"On time",16,0,5,1,69.90,18.00
48,6069,MS,delivered,2017-03-18,1,1,1,0,0,1,1,0,"On time",10,0,5,1,195.00,18.21
49,25387,MG,delivered,2018-05-19,1,1,1,0,0,1,1,0,"On time",16,0,1,1,35.90,15.20
50,27226,PR,delivered,2017-11-28,1,1,1,0,0,1,1,0,"On time",4,0,4,1,79.50,21.05
51,50980,RJ,delivered,2017-08-15,1,1,1,0,0,1,1,0,"On time",9,0,5,1,29.99,15.10
52,87145,SP,delivered,2018-04-22,1,1,1,0,0,1,1,0,"On time",10,0,4,1,109.90,13.21
53,7119,SP,delivered,2018-03-31,1,1,1,0,0,1,1,0,"On time",5,0,5,1,74.90,16.49
54,80043,MG,delivered,2018-03-27,1,1,1,0,0,1,1,0,"On time",9,0,5,1,14.95,18.23
55,93741,CE,delivered,2018-05-08,1,1,1,0,0,1,1,0,"On time",22,0,5,1,149.90,43.11
56,51830,MG,delivered,2017-12-27,1,1,1,0,0,1,1,0,"On time",8,0,4,1,19.99,14.10
57,94039,CE,delivered,2018-07-08,1,1,1,0,0,1,1,0,"On time",23,0,5,1,390.00,29.39
58,72237,DF,delivered,2018-02-27,1,1,1,0,0,1,1,0,"On time",23,0,4,1,135.00,21.75
59,92944,RS,delivered,2017-02-02,1,1,1,0,0,1,1,0,"On time",5,0,5,1,104.00,16.43
60,17646,SP,delivered,2017-10-27,1,1,1,0,0,1,1,0,"On time",11,0,4,1,149.00,15.80
61,74347,SP,delivered,2017-11-24,1,1,1,0,0,1,1,0,"On time",10,0,5,1,279.90,13.46
62,65847,PR,delivered,2018-02-13,1,1,1,0,0,1,1,0,"On time",31,0,4,1,44.90,23.22
63,26144,PE,delivered,2018-07-23,1,1,1,0,0,1,1,0,"On time",19,0,5,1,37.99,19.18
64,93619,RS,delivered,2018-08-15,1,1,1,0,0,1,1,0,"On time",13,0,4,1,29.99,15.31
65,90578,MG,delivered,2017-12-18,1,1,1,0,0,1,1,0,"On time",8,0,5,1,120.00,15.59
66,67361,SP,delivered,2018-08-25,1,1,1,0,0,1,1,0,"On time",5,0,4,1,492.75,21.62
67,49610,PR,delivered,2018-05-02,1,1,1,0,0,1,1,0,"On time",8,0,5,1,94.90,18.54
68,76407,SC,delivered,2018-02-18,1,1,1,0,0,1,1,0,"On time",22,0,4,1,88.34,21.11
69,66948,MG,delivered,2017-06-20,1,1,1,0,0,1,1,0,"On time",9,0,5,1,199.99,65.56
70,13787,SP,delivered,2018-03-11,1,1,1,0,0,1,1,0,"On time",8,0,5,1,99.90,19.67
71,40606,SP,delivered,2018-05-14,1,1,1,0,0,1,1,0,"On time",4,0,4,2,156.00,17.80
72,6935,PR,delivered,2017-11-19,1,1,1,0,0,1,1,0,"On time",8,0,3,1,155.00,14.84
73,88508,SP,delivered,2018-07-02,1,1,1,0,0,1,1,0,"On time",4,0,5,1,249.90,34.23
74,12209,BA,shipped,2018-03-21,1,1,0,0,0,0,0,0,"Not eligible",NULL,NULL,3,1,53.98,23.31
75,17543,RS,delivered,2017-08-04,1,1,1,0,0,1,1,0,"On time",3,0,5,2,53.89,39.73
76,9675,RJ,delivered,2017-11-24,1,1,1,0,0,1,0,1,Late,43,22,1,1,60.60,17.67
77,82202,MG,delivered,2018-03-25,1,1,1,0,0,1,1,0,"On time",22,0,5,1,225.00,67.24
78,88877,MG,canceled,2018-08-15,1,0,0,1,0,0,0,0,"Not eligible",NULL,NULL,1,1,39.90,15.38
79,7377,PR,delivered,2018-04-10,1,1,1,0,0,1,0,1,Late,23,3,5,1,76.00,34.07
80,57418,RJ,delivered,2018-03-10,1,1,1,0,0,1,0,1,Late,50,12,1,1,159.00,27.19
81,94560,MG,delivered,2017-05-18,1,1,1,0,0,1,1,0,"On time",12,0,1,2,205.80,28.90
82,13086,ES,delivered,2017-07-17,1,1,1,0,0,1,0,1,Late,57,32,NULL,1,63.90,16.89
83,62554,RJ,delivered,2018-04-25,1,1,1,0,0,1,1,0,"On time",8,0,5,1,168.80,8.21
84,22799,SP,delivered,2017-09-25,1,1,1,0,0,1,1,0,"On time",2,0,5,2,119.80,19.88
85,47607,BA,delivered,2018-07-08,1,1,1,0,0,1,1,0,"On time",16,0,3,1,232.75,28.58
86,55408,SP,delivered,2018-08-20,1,1,1,0,0,1,1,0,"On time",10,0,5,1,48.90,18.44
87,80287,SP,delivered,2017-08-17,1,1,1,0,0,1,1,0,"On time",11,0,5,1,87.00,12.11
88,55362,SP,delivered,2017-11-24,1,1,1,0,0,1,1,0,"On time",13,0,4,1,131.90,18.54
89,95348,SP,delivered,2018-02-21,1,1,1,0,0,1,1,0,"On time",5,0,5,1,19.90,14.10
90,71416,SP,delivered,2018-07-19,1,1,1,0,0,1,1,0,"On time",21,0,2,1,136.99,66.04
91,41058,MG,delivered,2017-10-13,1,1,1,0,0,1,1,0,"On time",10,0,5,1,399.99,23.64
92,77115,SP,delivered,2018-02-02,1,1,1,0,0,1,1,0,"On time",24,0,4,1,41.00,11.85
93,13978,RJ,delivered,2018-06-13,1,1,1,0,0,1,1,0,"On time",6,0,5,2,138.00,37.16
94,44961,AL,delivered,2018-07-06,1,1,1,0,0,1,1,0,"On time",15,0,5,1,169.90,33.33
95,20772,DF,delivered,2018-08-19,1,1,1,0,0,1,1,0,"On time",8,0,5,1,119.00,15.28
96,96071,MS,delivered,2018-08-03,1,1,1,0,0,1,0,1,Late,21,9,1,1,39.90,18.08
97,4642,SP,delivered,2018-08-03,1,1,1,0,0,1,1,0,"On time",4,0,5,1,85.00,12.90
98,18069,SP,delivered,2018-03-17,1,1,1,0,0,1,1,0,"On time",10,0,3,1,220.00,8.89
99,23952,MA,delivered,2017-11-17,1,1,1,0,0,1,0,1,Late,54,23,4,1,277.00,35.74
100,91034,SP,delivered,2018-08-19,1,1,1,0,0,1,1,0,"On time",8,0,4,1,66.99,27.75
101,34910,MA,delivered,2018-07-07,1,1,1,0,0,1,1,0,"On time",26,0,5,1,14.00,50.85
102,44750,RJ,delivered,2018-02-21,1,1,1,0,0,1,0,1,Late,35,6,1,2,170.00,34.06
103,10799,SP,delivered,2018-02-06,1,1,1,0,0,1,1,0,"On time",2,0,5,1,229.00,9.80
104,3574,SP,delivered,2018-05-07,1,1,1,0,0,1,1,0,"On time",11,0,5,1,99.90,0.00
105,51803,BA,delivered,2018-01-22,1,1,1,0,0,1,1,0,"On time",23,0,2,1,84.90,34.39
106,87091,CE,delivered,2017-05-21,1,1,1,0,0,1,1,0,"On time",12,0,5,1,189.00,33.91
107,22393,SP,delivered,2017-10-03,1,1,1,0,0,1,1,0,"On time",2,0,1,1,49.00,7.78
108,52547,GO,delivered,2018-07-04,1,1,1,0,0,1,1,0,"On time",7,0,5,1,37.90,15.37
109,67223,SP,delivered,2018-05-18,1,1,1,0,0,1,1,0,"On time",17,0,4,1,179.93,16.14
110,35688,SP,delivered,2017-08-10,1,1,1,0,0,1,1,0,"On time",19,0,5,1,116.90,13.84
111,997,MG,delivered,2018-06-10,1,1,1,0,0,1,1,0,"On time",8,0,5,1,94.90,15.51
112,33399,MG,delivered,2018-05-29,1,1,1,0,0,1,1,0,"On time",6,0,5,1,121.99,15.73
113,66538,SP,delivered,2017-09-26,1,1,1,0,0,1,1,0,"On time",3,0,5,1,7.79,7.78
114,11501,DF,delivered,2017-09-21,1,1,1,0,0,1,1,0,"On time",21,0,5,1,179.99,85.97
115,80051,MG,delivered,2017-02-13,1,1,1,0,0,1,1,0,"On time",2,0,5,1,7.60,10.96
116,74308,RJ,delivered,2017-12-30,1,1,1,0,0,1,1,0,"On time",31,0,1,1,49.90,17.60
117,27816,SP,delivered,2018-07-04,1,1,1,0,0,1,1,0,"On time",9,0,5,1,110.32,8.03
118,52403,SP,delivered,2017-12-25,1,1,1,0,0,1,1,0,"On time",4,0,5,1,49.00,11.85
119,46247,PA,delivered,2018-06-06,1,1,1,0,0,1,1,0,"On time",9,0,5,1,159.90,61.18
120,69701,SP,delivered,2017-12-20,1,1,1,0,0,1,1,0,"On time",6,0,5,1,120.00,27.39
121,34501,RJ,delivered,2017-08-02,1,1,1,0,0,1,1,0,"On time",1,0,5,1,21.50,11.98
122,8898,MS,delivered,2018-02-27,1,1,1,0,0,1,0,1,Late,24,2,3,1,122.99,15.61
123,64258,BA,delivered,2017-11-25,1,1,1,0,0,1,1,0,"On time",21,0,5,1,72.99,19.75
124,18536,SP,delivered,2017-06-11,1,1,1,0,0,1,1,0,"On time",5,0,5,1,129.99,13.93
125,77194,RJ,delivered,2018-02-05,1,1,1,0,0,1,1,0,"On time",14,0,3,2,184.00,35.78
126,47563,SP,delivered,2018-08-07,1,1,1,0,0,1,0,1,Late,9,1,1,4,135.56,33.60
127,88754,RJ,delivered,2018-02-19,1,1,1,0,0,1,1,0,"On time",16,0,5,1,149.00,40.37
128,57994,MT,delivered,2018-01-18,1,1,1,0,0,1,1,0,"On time",19,0,4,1,20.30,16.79
129,6206,MG,delivered,2017-05-18,1,1,1,0,0,1,1,0,"On time",12,0,5,2,359.80,30.02
130,85966,SP,delivered,2017-07-23,1,1,1,0,0,1,1,0,"On time",3,0,5,1,109.90,12.27
131,4426,PA,delivered,2017-08-18,1,1,1,0,0,1,1,0,"On time",12,0,1,1,89.00,25.90
132,1583,SP,delivered,2018-04-10,1,1,1,0,0,1,1,0,"On time",3,0,5,1,120.00,13.75
133,88227,MG,delivered,2018-02-09,1,1,1,0,0,1,1,0,"On time",21,0,5,1,75.00,14.28
134,50934,RS,delivered,2017-04-09,1,1,1,0,0,1,1,0,"On time",18,0,5,1,46.86,14.52
135,23692,SP,delivered,2017-04-15,1,1,1,0,0,1,1,0,"On time",18,0,5,1,96.00,14.84
136,36942,SP,delivered,2017-10-18,1,1,1,0,0,1,1,0,"On time",9,0,1,3,99.97,45.28
137,47463,SC,delivered,2018-02-21,1,1,1,0,0,1,0,1,Late,34,12,3,1,120.10,16.60
138,79163,SP,delivered,2018-03-04,1,1,1,0,0,1,1,0,"On time",16,0,5,1,69.90,16.25
139,61950,PA,delivered,2017-11-01,1,1,1,0,0,1,1,0,"On time",26,0,5,1,39.90,54.02
140,72534,GO,delivered,2018-07-26,1,1,1,0,0,1,1,0,"On time",5,0,4,1,159.90,20.31
141,56692,SP,delivered,2018-03-08,1,1,1,0,0,1,1,0,"On time",12,0,5,1,540.00,16.22
142,92979,RJ,delivered,2017-09-10,1,1,1,0,0,1,1,0,"On time",4,0,5,1,189.90,31.17
143,53616,SP,delivered,2018-02-23,1,1,1,0,0,1,1,0,"On time",7,0,5,1,14.90,8.27
144,52038,SP,delivered,2017-09-24,1,1,1,0,0,1,1,0,"On time",9,0,4,1,43.90,11.85
145,3322,RJ,delivered,2018-06-10,1,1,1,0,0,1,1,0,"On time",6,0,5,1,139.00,87.28
146,51918,SP,delivered,2018-04-27,1,1,1,0,0,1,1,0,"On time",10,0,5,1,40.35,13.71
147,1943,RJ,delivered,2017-11-24,1,1,1,0,0,1,1,0,"On time",20,0,5,1,469.00,20.85
148,90525,RS,delivered,2017-08-27,1,1,1,0,0,1,0,1,Late,38,8,1,1,59.00,16.17
149,79468,MT,delivered,2018-01-22,1,1,1,0,0,1,1,0,"On time",17,0,1,2,71.80,31.58
150,92913,RS,delivered,2017-09-29,1,1,1,0,0,1,1,0,"On time",6,0,5,1,96.99,16.44
151,3830,SP,delivered,2018-07-18,1,1,1,0,0,1,1,0,"On time",7,0,5,1,77.90,13.89
152,94809,PR,delivered,2018-08-06,1,1,1,0,0,1,1,0,"On time",9,0,5,1,229.99,20.80
153,80482,DF,delivered,2018-02-17,1,1,1,0,0,1,1,0,"On time",8,0,5,1,56.00,14.14
154,82304,SP,delivered,2017-08-14,1,1,1,0,0,1,1,0,"On time",4,0,5,1,69.99,11.99
155,94947,SP,delivered,2017-12-02,1,1,1,0,0,1,1,0,"On time",5,0,5,1,49.90,7.78
156,32260,SP,delivered,2018-08-13,1,1,1,0,0,1,1,0,"On time",2,0,5,1,14.00,7.39
157,24810,MG,delivered,2017-12-27,1,1,1,0,0,1,1,0,"On time",7,0,4,1,29.00,14.10
158,11357,SP,delivered,2017-05-11,1,1,1,0,0,1,1,0,"On time",8,0,5,1,99.00,43.06
159,24954,SP,delivered,2018-04-10,1,1,1,0,0,1,1,0,"On time",6,0,4,1,499.00,30.35
160,19850,SP,delivered,2018-03-22,1,1,1,0,0,1,1,0,"On time",14,0,2,1,39.85,12.79
161,5613,SP,delivered,2017-07-25,1,1,1,0,0,1,1,0,"On time",2,0,5,1,149.00,14.06
162,79898,SP,delivered,2018-01-22,1,1,1,0,0,1,1,0,"On time",9,0,4,1,179.98,12.46
163,70460,SP,delivered,2018-05-14,1,1,1,0,0,1,1,0,"On time",8,0,4,1,219.99,14.90
164,80994,SP,delivered,2017-11-12,1,1,1,0,0,1,1,0,"On time",2,0,5,1,129.00,8.16
165,29292,SP,delivered,2018-01-30,1,1,1,0,0,1,1,0,"On time",10,0,5,1,137.00,15.71
166,51454,SP,delivered,2017-04-24,1,1,1,0,0,1,1,0,"On time",12,0,4,1,37.00,10.96
167,14322,RJ,delivered,2017-06-28,1,1,1,0,0,1,1,0,"On time",19,0,5,1,154.00,14.83
168,62807,GO,delivered,2017-11-06,1,1,1,0,0,1,1,0,"On time",15,0,5,1,253.52,82.86
169,58536,SP,delivered,2018-05-03,1,1,1,0,0,1,1,0,"On time",5,0,5,1,49.90,7.39
170,83033,SP,delivered,2018-04-24,1,1,1,0,0,1,1,0,"On time",2,0,5,1,148.90,13.95
171,31452,RJ,delivered,2017-09-23,1,1,1,0,0,1,1,0,"On time",11,0,4,1,64.90,18.69
172,93791,GO,delivered,2018-02-20,1,1,1,0,0,1,1,0,"On time",20,0,2,1,179.00,16.00
173,14283,RS,delivered,2017-11-24,1,1,1,0,0,1,1,0,"On time",12,0,5,1,27.90,15.10
174,76549,MG,delivered,2018-02-03,1,1,1,0,0,1,1,0,"On time",11,0,5,1,39.00,16.11
175,6115,PR,delivered,2017-08-11,1,1,1,0,0,1,1,0,"On time",7,0,3,1,7.00,14.10
176,67733,SP,delivered,2018-02-14,1,1,1,0,0,1,1,0,"On time",5,0,2,1,269.00,10.70
177,49545,RS,delivered,2017-11-08,1,1,1,0,0,1,1,0,"On time",14,0,5,1,99.90,17.95
178,91542,RJ,delivered,2017-07-05,1,1,1,0,0,1,1,0,"On time",13,0,3,1,69.90,15.24
179,25093,RS,delivered,2018-03-14,1,1,1,0,0,1,0,1,Late,51,24,1,1,89.90,23.13
180,51787,RS,delivered,2018-03-14,1,1,1,0,0,1,1,0,"On time",8,0,4,1,165.00,19.03
181,37381,SP,delivered,2017-08-13,1,1,1,0,0,1,1,0,"On time",5,0,5,1,57.99,11.73
182,61207,SP,delivered,2017-10-23,1,1,1,0,0,1,1,0,"On time",1,0,5,1,259.00,10.63
183,91369,SP,delivered,2018-08-04,1,1,1,0,0,1,1,0,"On time",3,0,3,1,55.00,7.65
184,78460,DF,delivered,2017-05-14,1,1,1,0,0,1,1,0,"On time",9,0,5,1,133.00,16.69
185,79422,RJ,delivered,2018-05-11,1,1,1,0,0,1,1,0,"On time",25,0,5,1,35.90,18.23
186,88150,MG,delivered,2018-04-02,1,1,1,0,0,1,0,1,Late,31,10,1,1,14.89,18.23
187,34885,SP,delivered,2018-04-29,1,1,1,0,0,1,1,0,"On time",9,0,1,1,99.00,13.00
188,16273,SP,delivered,2018-03-04,1,1,1,0,0,1,1,0,"On time",5,0,4,1,90.00,9.44
189,380,SP,delivered,2018-05-18,1,1,1,0,0,1,1,0,"On time",5,0,5,1,43.49,27.39
190,22287,SP,delivered,2018-08-08,1,1,1,0,0,1,1,0,"On time",6,0,3,1,109.99,36.85
191,1931,ES,delivered,2018-06-04,1,1,1,0,0,1,1,0,"On time",9,0,5,2,19.98,30.46
192,25065,MA,delivered,2018-01-06,1,1,1,0,0,1,1,0,"On time",23,0,5,1,28.50,34.15
193,24540,SP,delivered,2018-03-20,1,1,1,0,0,1,1,0,"On time",3,0,1,1,199.00,8.74
194,69134,RJ,delivered,2017-07-10,1,1,1,0,0,1,1,0,"On time",11,0,5,1,135.90,21.44
195,9383,PR,delivered,2018-06-30,1,1,1,0,0,1,1,0,"On time",7,0,5,1,249.00,37.09
196,47482,MG,delivered,2017-02-22,1,1,1,0,0,1,1,0,"On time",9,0,5,1,49.99,15.56
197,24267,SP,delivered,2018-08-24,1,1,1,0,0,1,1,0,"On time",4,0,4,1,38.00,7.53
198,71485,SP,delivered,2018-06-13,1,1,1,0,0,1,1,0,"On time",7,0,5,1,85.00,11.62
199,51691,SC,delivered,2017-11-11,1,1,1,0,0,1,1,0,"On time",14,0,5,1,117.30,25.66
200,11160,SP,delivered,2017-12-09,1,1,1,0,0,1,1,0,"On time",8,0,4,2,199.80,32.92
201,12467,SP,delivered,2018-06-25,1,1,1,0,0,1,1,0,"On time",3,0,5,1,18.00,7.87
202,38860,SP,delivered,2018-05-01,1,1,1,0,0,1,0,1,Late,15,2,1,1,11.53,7.39
203,32919,SC,delivered,2018-01-24,1,1,1,0,0,1,1,0,"On time",12,0,5,1,269.99,39.41
204,62692,RJ,delivered,2017-03-07,1,1,1,0,0,1,1,0,"On time",7,0,4,1,89.99,14.80
205,20338,MA,delivered,2017-11-15,1,1,1,0,0,1,1,0,"On time",22,0,5,1,19.90,42.76
206,49519,SP,delivered,2018-07-11,1,1,1,0,0,1,0,1,Late,68,60,4,1,166.90,13.47
207,70938,SP,delivered,2017-10-24,1,1,1,0,0,1,0,1,Late,43,26,2,1,133.74,12.44
208,88599,SP,delivered,2017-08-21,1,1,1,0,0,1,1,0,"On time",2,0,5,1,86.80,7.86
209,13206,SP,delivered,2018-08-23,1,1,1,0,0,1,1,0,"On time",5,0,4,1,62.00,8.59
210,83097,SP,delivered,2018-03-05,1,1,1,0,0,1,1,0,"On time",16,0,1,2,466.00,41.84
211,2302,MG,delivered,2018-06-14,1,1,1,0,0,1,1,0,"On time",12,0,3,1,129.00,47.40
212,52696,GO,delivered,2017-09-19,1,1,1,0,0,1,1,0,"On time",13,0,4,1,143.54,21.49
213,32288,GO,delivered,2018-03-15,1,1,1,0,0,1,1,0,"On time",13,0,5,2,79.98,36.46
214,92019,RJ,delivered,2018-07-26,1,1,1,0,0,1,1,0,"On time",7,0,1,1,49.90,12.92
215,24342,PB,delivered,2018-05-11,1,1,1,0,0,1,1,0,"On time",7,0,4,1,119.90,23.34
216,11504,MG,delivered,2017-11-23,1,1,1,0,0,1,1,0,"On time",6,0,5,1,16.90,15.10
217,69939,SC,delivered,2018-01-11,1,1,1,0,0,1,1,0,"On time",20,0,5,1,29.99,15.10
218,67578,AM,delivered,2017-10-19,1,1,1,0,0,1,1,0,"On time",12,0,5,1,30.99,34.15
219,440,MG,delivered,2017-06-14,1,1,1,0,0,1,1,0,"On time",24,0,4,1,84.99,15.34
220,75102,MS,delivered,2018-02-18,1,1,1,0,0,1,1,0,"On time",13,0,5,1,149.00,45.12
221,70163,SP,delivered,2018-05-08,1,1,1,0,0,1,1,0,"On time",2,0,4,1,48.90,8.82
222,41577,SP,delivered,2017-12-09,1,1,1,0,0,1,1,0,"On time",5,0,5,1,159.49,8.86
223,51624,RJ,delivered,2017-11-27,1,1,1,0,0,1,1,0,"On time",22,0,1,1,249.90,41.53
224,21206,DF,delivered,2018-07-25,1,1,1,0,0,1,1,0,"On time",2,0,5,1,24.89,7.75
225,48165,SP,delivered,2017-12-10,1,1,1,0,0,1,1,0,"On time",4,0,2,1,53.99,7.78
226,26467,SP,delivered,2018-08-03,1,1,1,0,0,1,0,1,Late,7,2,1,1,15.99,7.39
227,61492,SP,delivered,2017-10-25,1,1,1,0,0,1,1,0,"On time",10,0,5,1,24.50,11.85
228,58372,SP,delivered,2018-05-18,1,1,1,0,0,1,1,0,"On time",19,0,5,1,179.00,22.99
229,75634,SP,delivered,2018-04-26,1,1,1,0,0,1,1,0,"On time",11,0,5,1,37.90,21.43
230,77240,BA,unavailable,2017-11-23,1,0,0,0,1,0,0,0,"Not eligible",NULL,NULL,2,0,0.00,0.00
231,541,MS,delivered,2018-07-20,1,1,1,0,0,1,1,0,"On time",10,0,5,3,269.70,67.68
232,35198,MT,delivered,2018-04-08,1,1,1,0,0,1,1,0,"On time",16,0,5,1,88.34,29.08
233,51046,RJ,delivered,2017-06-22,1,1,1,0,0,1,1,0,"On time",15,0,NULL,1,177.90,18.50
234,16561,RS,delivered,2017-09-01,1,1,1,0,0,1,1,0,"On time",10,0,3,1,32.99,14.10
235,41571,MG,delivered,2018-05-09,1,1,1,0,0,1,1,0,"On time",8,0,4,1,69.90,0.00
236,74366,SP,delivered,2017-05-12,1,1,1,0,0,1,1,0,"On time",10,0,3,1,109.90,12.27
237,36526,BA,shipped,2018-08-17,1,1,0,0,0,0,0,0,"Not eligible",NULL,NULL,5,1,52.99,22.30
238,41020,MG,delivered,2017-11-23,1,1,1,0,0,1,1,0,"On time",11,0,NULL,1,110.90,14.51
239,53615,SP,delivered,2017-09-01,1,1,1,0,0,1,1,0,"On time",11,0,5,1,35.90,12.48
240,2471,SP,delivered,2018-06-12,1,1,1,0,0,1,1,0,"On time",7,0,4,1,39.00,7.53
241,74579,SP,delivered,2018-08-10,1,1,1,0,0,1,1,0,"On time",4,0,5,1,27.90,7.46
242,88246,MG,delivered,2018-05-25,1,1,1,0,0,1,1,0,"On time",13,0,4,1,579.00,65.34
243,75115,RJ,delivered,2018-02-18,1,1,1,0,0,1,1,0,"On time",12,0,2,1,99.90,23.57
244,57662,PR,delivered,2018-04-06,1,1,1,0,0,1,1,0,"On time",11,0,5,1,37.00,19.32
245,71686,MG,delivered,2018-01-19,1,1,1,0,0,1,1,0,"On time",31,0,3,1,116.60,30.66
246,92040,CE,delivered,2018-08-04,1,1,1,0,0,1,1,0,"On time",13,0,2,1,49.00,19.25
247,90392,SP,canceled,2018-05-09,1,0,0,1,0,0,0,0,"Not eligible",NULL,NULL,2,1,27.90,9.26
248,29656,PE,delivered,2018-02-21,1,1,1,0,0,1,1,0,"On time",14,0,5,1,65.00,25.73
